2020-10-16 16:34:59,398: 'd'
2020-10-16 16:35:01,174: Key.backspace
2020-10-16 16:35:06,357: 'a'
2020-10-16 16:35:06,621: 's'
2020-10-16 16:35:06,862: 'd'
2020-10-16 16:35:07,962: Key.backspace
2020-10-16 16:35:08,137: Key.backspace
2020-10-16 16:35:08,427: Key.backspace
2020-10-16 16:35:35,976: Key.shift
2020-10-16 16:35:36,125: 'T'
2020-10-16 16:35:36,250: 'h'
2020-10-16 16:35:36,337: 'i'
2020-10-16 16:35:36,400: 's'
2020-10-16 16:35:36,524: Key.space
2020-10-16 16:35:36,766: 'i'
2020-10-16 16:35:36,897: 's'
2020-10-16 16:35:37,000: Key.space
2020-10-16 16:35:37,863: 'w'
2020-10-16 16:35:37,964: 'h'
2020-10-16 16:35:38,064: 'a'
2020-10-16 16:35:38,167: 't'
2020-10-16 16:35:38,271: Key.space
2020-10-16 16:35:39,621: 'i'
2020-10-16 16:35:39,691: 's'
2020-10-16 16:35:39,809: Key.space
2020-10-16 16:35:40,057: 'b'
2020-10-16 16:35:40,220: 'e'
2020-10-16 16:35:40,384: 'e'
2020-10-16 16:35:40,495: 'n'
2020-10-16 16:35:40,575: Key.space
2020-10-16 16:35:40,873: 'l'
2020-10-16 16:35:41,084: 'o'
2020-10-16 16:35:41,258: 'g'
2020-10-16 16:35:41,352: 'g'
2020-10-16 16:35:41,513: 'e'
2020-10-16 16:35:41,573: 'd'
2020-10-16 16:35:42,330: '.'
2020-10-16 16:35:42,551: Key.space
2020-10-16 16:35:42,886: Key.enter
2020-10-16 16:35:43,297: <244>
2020-10-16 16:35:44,610: 'k'
2020-10-16 16:35:44,734: 'o'
2020-10-16 16:35:44,935: 'r'
2020-10-16 16:35:45,015: 'e'
2020-10-16 16:35:45,374: 'h'
2020-10-16 16:35:45,505: 'a'
2020-10-16 16:35:45,811: Key.tab
2020-10-16 16:35:46,012: Key.enter
2020-10-16 16:35:46,633: ','
2020-10-16 16:35:46,793: Key.enter
2020-10-16 16:35:47,468: 'y'
2020-10-16 16:35:47,628: 'a'
2020-10-16 16:35:47,722: 'b'
2020-10-16 16:35:47,834: 'a'
2020-10-16 16:35:47,903: 'i'
2020-10-16 16:35:48,188: Key.tab
2020-10-16 16:35:48,393: Key.enter
2020-10-16 16:35:49,305: Key.backspace
2020-10-16 16:35:49,479: Key.backspace
2020-10-16 16:35:49,650: Key.backspace
2020-10-16 16:35:50,138: 'y'
2020-10-16 16:35:50,301: 'a'
2020-10-16 16:35:50,435: 'b'
2020-10-16 16:35:50,535: 'a'
2020-10-16 16:35:50,666: 'i'
2020-10-16 16:35:51,563: Key.down
2020-10-16 16:35:51,735: Key.down
2020-10-16 16:35:51,939: Key.down
2020-10-16 16:35:52,168: Key.enter
2020-10-16 16:35:52,727: 'n'
2020-10-16 16:35:52,837: 'e'
2020-10-16 16:35:53,908: '.'
2020-10-16 16:35:54,130: Key.enter
2020-10-16 16:35:54,875: Key.ctrl_l
2020-10-16 16:37:55,243: '0'
2020-10-16 16:37:55,424: '0'
2020-10-16 16:37:55,646: '0'
2020-10-16 16:37:56,021: '0'
2020-10-16 16:37:56,826: Key.backspace
2020-10-16 16:37:57,170: '7'
2020-10-16 16:37:57,457: '5'
2020-10-16 16:37:57,598: '5'
2020-10-16 16:37:57,843: Key.tab
2020-10-16 16:37:58,423: Key.shift
2020-10-16 16:37:58,575: 'Z'
2020-10-16 16:37:58,990: '3'
2020-10-16 16:37:59,153: '5'
2020-10-16 16:37:59,378: 's'
2020-10-16 16:37:59,580: 'j'
2020-10-16 16:37:59,775: 'n'
2020-10-16 16:37:59,896: Key.shift
2020-10-16 16:38:00,025: 'Z'
2020-10-16 16:38:00,190: 'K'
2020-11-10 17:56:44,443: Key.ctrl_l
2020-11-10 17:56:44,643: '\x0e'
2020-11-10 17:56:45,882: Key.shift
2020-11-10 17:56:46,045: 'T'
2020-11-10 17:56:46,094: 'H'
2020-11-10 17:56:46,194: 'i'
2020-11-10 17:56:46,298: 's'
2020-11-10 17:56:46,376: Key.space
2020-11-10 17:56:46,471: 'i'
2020-11-10 17:56:46,572: 's'
2020-11-10 17:56:46,633: Key.space
2020-11-10 17:56:47,762: 'n'
2020-11-10 17:56:47,906: 'o'
2020-11-10 17:56:48,006: 't'
2020-11-10 17:56:48,078: 'e'
2020-11-10 17:56:48,237: 'p'
2020-11-10 17:56:48,329: 'a'
2020-11-10 17:56:48,444: 'd'
2020-11-10 17:56:49,375: '.'
